muni_join,uf_join,id_municipio,manual,atencao,existia_1991,existia_2000,existia_2010
itacoatiara,AM,1301902,FALSE,FALSE,1,1,1
itamarati,AM,1301951,FALSE,FALSE,1,1,1
itapiranga,AM,1302009,FALSE,FALSE,1,1,1
japura,AM,1302108,FALSE,FALSE,1,1,1
jurua,AM,1302207,FALSE,FALSE,1,1,1
jutai,AM,1302306,FALSE,FALSE,1,1,1
labrea,AM,1302405,FALSE,FALSE,1,1,1
manacapuru,AM,1302504,FALSE,FALSE,1,1,1
manaquiri,AM,1302553,FALSE,FALSE,1,1,1
manaus,AM,1302603,FALSE,FALSE,1,1,1
manicore,AM,1302702,FALSE,FALSE,1,1,1
maraa,AM,1302801,FALSE,FALSE,1,1,1
maues,AM,1302900,FALSE,FALSE,1,1,1
nhamunda,AM,1303007,FALSE,FALSE,1,1,1
nova olinda do norte,AM,1303106,FALSE,FALSE,1,1,1
novo airao,AM,1303205,FALSE,FALSE,1,1,1
novo aripuana,AM,1303304,FALSE,FALSE,1,1,1
parintins,AM,1303403,FALSE,FALSE,1,1,1
pauini,AM,1303502,FALSE,FALSE,1,1,1
presidente figueiredo,AM,1303536,FALSE,FALSE,1,1,1
rio preto da eva,AM,1303569,FALSE,FALSE,1,1,1
santa isabel do rio negro,AM,1303601,FALSE,FALSE,1,1,1
santo antonio do ica,AM,1303700,FALSE,FALSE,1,1,1
sao gabriel da cachoeira,AM,1303809,FALSE,FALSE,1,1,1
sao paulo de olivenca,AM,1303908,FALSE,FALSE,1,1,1
sao sebastiao do uatuma,AM,1303957,FALSE,FALSE,1,1,1
silves,AM,1304005,FALSE,FALSE,1,1,1
tabatinga,AM,1304062,FALSE,FALSE,1,1,1
tapaua,AM,1304104,FALSE,FALSE,1,1,1
tefe,AM,1304203,FALSE,FALSE,1,1,1
tonantins,AM,1304237,FALSE,FALSE,1,1,1
uarini,AM,1304260,FALSE,FALSE,1,1,1
urucara,AM,1304302,FALSE,FALSE,1,1,1
urucurituba,AM,1304401,FALSE,FALSE,1,1,1
amajari,RR,1400027,FALSE,FALSE,0,1,1
alto alegre,RR,1400050,FALSE,FALSE,1,1,1
boa vista,RR,1400100,FALSE,FALSE,1,1,1
bonfim,RR,1400159,FALSE,FALSE,1,1,1
canta,RR,1400175,FALSE,FALSE,0,1,1
caracarai,RR,1400209,FALSE,FALSE,1,1,1
caroebe,RR,1400233,FALSE,FALSE,0,1,1
iracema,RR,1400282,FALSE,FALSE,0,1,1
mucajai,RR,1400308,FALSE,FALSE,1,1,1
normandia,RR,1400407,FALSE,FALSE,1,1,1
pacaraima,RR,1400456,FALSE,FALSE,0,1,1
rorainopolis,RR,1400472,FALSE,FALSE,0,1,1
sao joao da baliza,RR,1400506,FALSE,FALSE,1,1,1
sao luiz,RR,1400605,FALSE,FALSE,1,1,1
uiramuta,RR,1400704,FALSE,FALSE,0,1,1
abaetetuba,PA,1500107,FALSE,FALSE,1,1,1
abel figueiredo,PA,1500131,FALSE,FALSE,0,1,1
acara,PA,1500206,FALSE,FALSE,1,1,1
afua,PA,1500305,FALSE,FALSE,1,1,1
agua azul do norte,PA,1500347,FALSE,FALSE,0,1,1
alenquer,PA,1500404,FALSE,FALSE,1,1,1
almeirim,PA,1500503,FALSE,FALSE,1,1,1
altamira,PA,1500602,FALSE,FALSE,1,1,1
anajas,PA,1500701,FALSE,FALSE,1,1,1
ananindeua,PA,1500800,FALSE,FALSE,1,1,1
anapu,PA,1500859,FALSE,FALSE,0,1,1
augusto correa,PA,1500909,FALSE,FALSE,1,1,1
aurora do para,PA,1500958,FALSE,FALSE,0,1,1
aveiro,PA,1501006,FALSE,FALSE,1,1,1
bagre,PA,1501105,FALSE,FALSE,1,1,1
baiao,PA,1501204,FALSE,FALSE,1,1,1
bannach,PA,1501253,FALSE,FALSE,0,1,1
barcarena,PA,1501303,FALSE,FALSE,1,1,1
belem,PA,1501402,FALSE,FALSE,1,1,1
belterra,PA,1501451,FALSE,FALSE,0,1,1
benevides,PA,1501501,FALSE,FALSE,1,1,1
bom jesus do tocantins,PA,1501576,FALSE,FALSE,1,1,1
bonito,PA,1501600,FALSE,FALSE,1,1,1
braganca,PA,1501709,FALSE,FALSE,1,1,1
brasil novo,PA,1501725,FALSE,FALSE,0,1,1
brejo grande do araguaia,PA,1501758,FALSE,FALSE,1,1,1
breu branco,PA,1501782,FALSE,FALSE,0,1,1
breves,PA,1501808,FALSE,FALSE,1,1,1
bujaru,PA,1501907,FALSE,FALSE,1,1,1
cachoeira do piria,PA,1501956,FALSE,FALSE,0,1,1
cachoeira do arari,PA,1502004,FALSE,FALSE,1,1,1
cameta,PA,1502103,FALSE,FALSE,1,1,1
canaa dos carajas,PA,1502152,FALSE,FALSE,0,1,1
capanema,PA,1502202,FALSE,FALSE,1,1,1
capitao poco,PA,1502301,FALSE,FALSE,1,1,1
castanhal,PA,1502400,FALSE,FALSE,1,1,1
chaves,PA,1502509,FALSE,FALSE,1,1,1
colares,PA,1502608,FALSE,FALSE,1,1,1
conceicao do araguaia,PA,1502707,FALSE,FALSE,1,1,1
concordia do para,PA,1502756,FALSE,FALSE,1,1,1
cumaru do norte,PA,1502764,FALSE,FALSE,0,1,1
curionopolis,PA,1502772,FALSE,FALSE,1,1,1
curralinho,PA,1502806,FALSE,FALSE,1,1,1
curua,PA,1502855,FALSE,FALSE,0,1,1
curuca,PA,1502905,FALSE,FALSE,1,1,1
dom eliseu,PA,1502939,FALSE,FALSE,1,1,1
eldorado do carajas,PA,1502954,FALSE,FALSE,0,1,1
faro,PA,1503002,FALSE,FALSE,1,1,1
floresta do araguaia,PA,1503044,FALSE,FALSE,0,1,1
garrafao do norte,PA,1503077,FALSE,FALSE,1,1,1
goianesia do para,PA,1503093,FALSE,FALSE,0,1,1
gurupa,PA,1503101,FALSE,FALSE,1,1,1
igarape-acu,PA,1503200,FALSE,FALSE,1,1,1
igarape-miri,PA,1503309,FALSE,FALSE,1,1,1
inhangapi,PA,1503408,FALSE,FALSE,1,1,1
ipixuna do para,PA,1503457,FALSE,FALSE,0,1,1
irituia,PA,1503507,FALSE,FALSE,1,1,1
itaituba,PA,1503606,FALSE,FALSE,1,1,1
itupiranga,PA,1503705,FALSE,FALSE,1,1,1
jacareacanga,PA,1503754,FALSE,FALSE,0,1,1
jacunda,PA,1503804,FALSE,FALSE,1,1,1
juruti,PA,1503903,FALSE,FALSE,1,1,1
limoeiro do ajuru,PA,1504000,FALSE,FALSE,1,1,1
mae do rio,PA,1504059,FALSE,FALSE,1,1,1
magalhaes barata,PA,1504109,FALSE,FALSE,1,1,1
maraba,PA,1504208,FALSE,FALSE,1,1,1
maracana,PA,1504307,FALSE,FALSE,1,1,1
marapanim,PA,1504406,FALSE,FALSE,1,1,1
marituba,PA,1504422,FALSE,FALSE,0,1,1
medicilandia,PA,1504455,FALSE,FALSE,1,1,1
melgaco,PA,1504505,FALSE,FALSE,1,1,1
mocajuba,PA,1504604,FALSE,FALSE,1,1,1
moju,PA,1504703,FALSE,FALSE,1,1,1
mojui dos campos,PA,1504752,FALSE,FALSE,0,0,0
monte alegre,PA,1504802,FALSE,FALSE,1,1,1
muana,PA,1504901,FALSE,FALSE,1,1,1
nova esperanca do piria,PA,1504950,FALSE,FALSE,0,1,1
nova ipixuna,PA,1504976,FALSE,FALSE,0,1,1
nova timboteua,PA,1505007,FALSE,FALSE,1,1,1
novo progresso,PA,1505031,FALSE,FALSE,0,1,1
novo repartimento,PA,1505064,FALSE,FALSE,0,1,1
obidos,PA,1505106,FALSE,FALSE,1,1,1
oeiras do para,PA,1505205,FALSE,FALSE,1,1,1
oriximina,PA,1505304,FALSE,FALSE,1,1,1
ourem,PA,1505403,FALSE,FALSE,1,1,1
ourilandia do norte,PA,1505437,FALSE,FALSE,1,1,1
pacaja,PA,1505486,FALSE,FALSE,1,1,1
palestina do para,PA,1505494,FALSE,FALSE,0,1,1
paragominas,PA,1505502,FALSE,FALSE,1,1,1
parauapebas,PA,1505536,FALSE,FALSE,1,1,1
pau darco,PA,1505551,FALSE,FALSE,0,1,1
peixe-boi,PA,1505601,FALSE,FALSE,1,1,1
picarra,PA,1505635,FALSE,FALSE,0,1,1
placas,PA,1505650,FALSE,FALSE,0,1,1
ponta de pedras,PA,1505700,FALSE,FALSE,1,1,1
portel,PA,1505809,FALSE,FALSE,1,1,1
porto de moz,PA,1505908,FALSE,FALSE,1,1,1
prainha,PA,1506005,FALSE,FALSE,1,1,1
primavera,PA,1506104,FALSE,FALSE,1,1,1
quatipuru,PA,1506112,FALSE,FALSE,0,1,1
redencao,PA,1506138,FALSE,FALSE,1,1,1
rio maria,PA,1506161,FALSE,FALSE,1,1,1
rondon do para,PA,1506187,FALSE,FALSE,1,1,1
ruropolis,PA,1506195,FALSE,FALSE,1,1,1
salinopolis,PA,1506203,FALSE,FALSE,1,1,1
salvaterra,PA,1506302,FALSE,FALSE,1,1,1
santa barbara do para,PA,1506351,FALSE,FALSE,0,1,1
santa cruz do arari,PA,1506401,FALSE,FALSE,1,1,1
santa izabel do para,PA,1506500,FALSE,FALSE,1,1,1
santa luzia do para,PA,1506559,FALSE,FALSE,0,1,1
santa maria das barreiras,PA,1506583,FALSE,FALSE,1,1,1
santa maria do para,PA,1506609,FALSE,FALSE,1,1,1
santana do araguaia,PA,1506708,FALSE,FALSE,1,1,1
santarem,PA,1506807,FALSE,FALSE,1,1,1
santarem novo,PA,1506906,FALSE,FALSE,1,1,1
santo antonio do taua,PA,1507003,FALSE,FALSE,1,1,1
sao caetano de odivelas,PA,1507102,FALSE,FALSE,1,1,1
sao domingos do araguaia,PA,1507151,FALSE,FALSE,0,1,1
sao domingos do capim,PA,1507201,FALSE,FALSE,1,1,1
sao felix do xingu,PA,1507300,FALSE,FALSE,1,1,1
sao francisco do para,PA,1507409,FALSE,FALSE,1,1,1
sao geraldo do araguaia,PA,1507458,FALSE,FALSE,1,1,1
sao joao da ponta,PA,1507466,FALSE,FALSE,0,1,1
sao joao de pirabas,PA,1507474,FALSE,FALSE,1,1,1
sao joao do araguaia,PA,1507508,FALSE,FALSE,1,1,1
sao miguel do guama,PA,1507607,FALSE,FALSE,1,1,1
sao sebastiao da boa vista,PA,1507706,FALSE,FALSE,1,1,1
sapucaia,PA,1507755,FALSE,FALSE,0,1,1
senador jose porfirio,PA,1507805,FALSE,FALSE,1,1,1
soure,PA,1507904,FALSE,FALSE,1,1,1
tailandia,PA,1507953,FALSE,FALSE,1,1,1
terra alta,PA,1507961,FALSE,FALSE,0,1,1
terra santa,PA,1507979,FALSE,FALSE,0,1,1
tome-acu,PA,1508001,FALSE,FALSE,1,1,1
tracuateua,PA,1508035,FALSE,FALSE,0,1,1
trairao,PA,1508050,FALSE,FALSE,0,1,1
tucuma,PA,1508084,FALSE,FALSE,1,1,1
tucurui,PA,1508100,FALSE,FALSE,1,1,1
ulianopolis,PA,1508126,FALSE,FALSE,0,1,1
uruara,PA,1508159,FALSE,FALSE,1,1,1
vigia,PA,1508209,FALSE,FALSE,1,1,1
viseu,PA,1508308,FALSE,FALSE,1,1,1
vitoria do xingu,PA,1508357,FALSE,FALSE,0,1,1
xinguara,PA,1508407,FALSE,FALSE,1,1,1
serra do navio,AP,1600055,FALSE,FALSE,0,1,1
amapa,AP,1600105,FALSE,FALSE,1,1,1
pedra branca do amapari,AP,1600154,FALSE,FALSE,0,1,1
calcoene,AP,1600204,FALSE,FALSE,1,1,1
cutias,AP,1600212,FALSE,FALSE,0,1,1
ferreira gomes,AP,1600238,FALSE,FALSE,1,1,1
itaubal,AP,1600253,FALSE,FALSE,0,1,1
laranjal do jari,AP,1600279,FALSE,FALSE,1,1,1
macapa,AP,1600303,FALSE,FALSE,1,1,1
mazagao,AP,1600402,FALSE,FALSE,1,1,1
oiapoque,AP,1600501,FALSE,FALSE,1,1,1
porto grande,AP,1600535,FALSE,FALSE,0,1,1
pracuuba,AP,1600550,FALSE,FALSE,0,1,1
santana,AP,1600600,FALSE,FALSE,1,1,1
tartarugalzinho,AP,1600709,FALSE,FALSE,1,1,1
vitoria do jari,AP,1600808,FALSE,FALSE,0,1,1
abreulandia,TO,1700251,FALSE,FALSE,0,1,1
aguiarnopolis,TO,1700301,FALSE,FALSE,0,1,1
alianca do tocantins,TO,1700350,FALSE,FALSE,1,1,1
almas,TO,1700400,FALSE,FALSE,1,1,1
alvorada,TO,1700707,FALSE,FALSE,1,1,1
ananas,TO,1701002,FALSE,FALSE,1,1,1
angico,TO,1701051,FALSE,FALSE,0,1,1
aparecida do rio negro,TO,1701101,FALSE,FALSE,1,1,1
aragominas,TO,1701309,FALSE,FALSE,0,1,1
araguacema,TO,1701903,FALSE,FALSE,1,1,1
araguacu,TO,1702000,FALSE,FALSE,1,1,1
araguaina,TO,1702109,FALSE,FALSE,1,1,1
araguana,TO,1702158,FALSE,FALSE,0,1,1
araguatins,TO,1702208,FALSE,FALSE,1,1,1
arapoema,TO,1702307,FALSE,FALSE,1,1,1
arraias,TO,1702406,FALSE,FALSE,1,1,1
augustinopolis,TO,1702554,FALSE,FALSE,1,1,1
aurora do tocantins,TO,1702703,FALSE,FALSE,1,1,1
axixa do tocantins,TO,1702901,FALSE,FALSE,1,1,1
babaculandia,TO,1703008,FALSE,FALSE,1,1,1
bandeirantes do tocantins,TO,1703057,FALSE,FALSE,0,1,1
barra do ouro,TO,1703073,FALSE,FALSE,0,1,1
barrolandia,TO,1703107,FALSE,FALSE,1,1,1
bernardo sayao,TO,1703206,FALSE,FALSE,1,1,1
bom jesus do tocantins,TO,1703305,FALSE,FALSE,0,1,1
brasilandia do tocantins,TO,1703602,FALSE,FALSE,0,1,1
brejinho de nazare,TO,1703701,FALSE,FALSE,1,1,1
buriti do tocantins,TO,1703800,FALSE,FALSE,1,1,1
cachoeirinha,TO,1703826,FALSE,FALSE,0,1,1
campos lindos,TO,1703842,FALSE,FALSE,0,1,1
cariri do tocantins,TO,1703867,FALSE,FALSE,0,1,1
carmolandia,TO,1703883,FALSE,FALSE,0,1,1
carrasco bonito,TO,1703891,FALSE,FALSE,0,1,1
caseara,TO,1703909,FALSE,FALSE,1,1,1
centenario,TO,1704105,FALSE,FALSE,0,1,1
chapada de areia,TO,1704600,FALSE,FALSE,0,1,1
chapada da natividade,TO,1705102,FALSE,FALSE,0,1,1
colinas do tocantins,TO,1705508,FALSE,FALSE,1,1,1
combinado,TO,1705557,FALSE,FALSE,1,1,1
conceicao do tocantins,TO,1705607,FALSE,FALSE,1,1,1
couto magalhaes,TO,1706001,FALSE,FALSE,1,1,1
cristalandia,TO,1706100,FALSE,FALSE,1,1,1
crixas do tocantins,TO,1706258,FALSE,FALSE,0,1,1
darcinopolis,TO,1706506,FALSE,FALSE,0,1,1
dianopolis,TO,1707009,FALSE,FALSE,1,1,1
divinopolis do tocantins,TO,1707108,FALSE,FALSE,1,1,1
dois irmaos do tocantins,TO,1707207,FALSE,FALSE,1,1,1
duere,TO,1707306,FALSE,FALSE,1,1,1
esperantina,TO,1707405,FALSE,FALSE,0,1,1
fatima,TO,1707553,FALSE,FALSE,1,1,1
figueiropolis,TO,1707652,FALSE,FALSE,1,1,1
filadelfia,TO,1707702,FALSE,FALSE,1,1,1
formoso do araguaia,TO,1708205,FALSE,FALSE,1,1,1
tabocao,TO,1708254,FALSE,FALSE,0,1,1
goianorte,TO,1708304,FALSE,FALSE,1,1,1
goiatins,TO,1709005,FALSE,FALSE,1,1,1
guarai,TO,1709302,FALSE,FALSE,1,1,1
gurupi,TO,1709500,FALSE,FALSE,1,1,1
ipueiras,TO,1709807,FALSE,FALSE,0,1,1
itacaja,TO,1710508,FALSE,FALSE,1,1,1
itaguatins,TO,1710706,FALSE,FALSE,1,1,1
itapiratins,TO,1710904,FALSE,FALSE,0,1,1
itapora do tocantins,TO,1711100,FALSE,FALSE,1,1,1
jau do tocantins,TO,1711506,FALSE,FALSE,0,1,1
juarina,TO,1711803,FALSE,FALSE,0,1,1
lagoa da confusao,TO,1711902,FALSE,FALSE,0,1,1
lagoa do tocantins,TO,1711951,FALSE,FALSE,0,1,1
lajeado,TO,1712009,FALSE,FALSE,0,1,1
lavandeira,TO,1712157,FALSE,FALSE,0,1,1
lizarda,TO,1712405,FALSE,FALSE,1,1,1
luzinopolis,TO,1712454,FALSE,FALSE,0,1,1
marianopolis do tocantins,TO,1712504,FALSE,FALSE,1,1,1
mateiros,TO,1712702,FALSE,FALSE,0,1,1
maurilandia do tocantins,TO,1712801,FALSE,FALSE,0,1,1
miracema do tocantins,TO,1713205,FALSE,FALSE,1,1,1
miranorte,TO,1713304,FALSE,FALSE,1,1,1
monte do carmo,TO,1713601,FALSE,FALSE,1,1,1
monte santo do tocantins,TO,1713700,FALSE,FALSE,0,1,1
palmeiras do tocantins,TO,1713809,FALSE,FALSE,0,1,1
muricilandia,TO,1713957,FALSE,FALSE,0,1,1
natividade,TO,1714203,FALSE,FALSE,1,1,1
nazare,TO,1714302,FALSE,FALSE,1,1,1
nova olinda,TO,1714880,FALSE,FALSE,1,1,1
nova rosalandia,TO,1715002,FALSE,FALSE,1,1,1
novo acordo,TO,1715101,FALSE,FALSE,1,1,1
novo alegre,TO,1715150,FALSE,FALSE,0,1,1
novo jardim,TO,1715259,FALSE,FALSE,0,1,1
oliveira de fatima,TO,1715507,FALSE,FALSE,0,1,1
palmeirante,TO,1715705,FALSE,FALSE,0,1,1
palmeiropolis,TO,1715754,FALSE,FALSE,1,1,1
paraiso do tocantins,TO,1716109,FALSE,FALSE,1,1,1
parana,TO,1716208,FALSE,FALSE,1,1,1
pau darco,TO,1716307,FALSE,FALSE,0,1,1
pedro afonso,TO,1716505,FALSE,FALSE,1,1,1
peixe,TO,1716604,FALSE,FALSE,1,1,1
pequizeiro,TO,1716653,FALSE,FALSE,1,1,1
colmeia,TO,1716703,FALSE,FALSE,1,1,1
pindorama do tocantins,TO,1717008,FALSE,FALSE,1,1,1
piraque,TO,1717206,FALSE,FALSE,0,1,1
pium,TO,1717503,FALSE,FALSE,1,1,1
ponte alta do bom jesus,TO,1717800,FALSE,FALSE,1,1,1
ponte alta do tocantins,TO,1717909,FALSE,FALSE,1,1,1
porto alegre do tocantins,TO,1718006,FALSE,FALSE,1,1,1
porto nacional,TO,1718204,FALSE,FALSE,1,1,1
praia norte,TO,1718303,FALSE,FALSE,1,1,1
presidente kennedy,TO,1718402,FALSE,FALSE,1,1,1
pugmil,TO,1718451,FALSE,FALSE,0,1,1
recursolandia,TO,1718501,FALSE,FALSE,0,1,1
riachinho,TO,1718550,FALSE,FALSE,0,1,1
rio da conceicao,TO,1718659,FALSE,FALSE,0,1,1
rio dos bois,TO,1718709,FALSE,FALSE,0,1,1
rio sono,TO,1718758,FALSE,FALSE,1,1,1
sampaio,TO,1718808,FALSE,FALSE,1,1,1
sandolandia,TO,1718840,FALSE,FALSE,0,1,1
santa fe do araguaia,TO,1718865,FALSE,FALSE,0,1,1
santa maria do tocantins,TO,1718881,FALSE,FALSE,0,1,1
santa rita do tocantins,TO,1718899,FALSE,FALSE,0,1,1
santa rosa do tocantins,TO,1718907,FALSE,FALSE,1,1,1
santa tereza do tocantins,TO,1719004,FALSE,FALSE,1,1,1
santa terezinha do tocantins,TO,1720002,FALSE,FALSE,0,1,1
sao bento do tocantins,TO,1720101,FALSE,FALSE,0,1,1
sao felix do tocantins,TO,1720150,FALSE,FALSE,0,1,1
sao miguel do tocantins,TO,1720200,FALSE,FALSE,0,1,1
sao salvador do tocantins,TO,1720259,FALSE,FALSE,0,1,1
sao sebastiao do tocantins,TO,1720309,FALSE,FALSE,1,1,1
sao valerio,TO,1720499,FALSE,FALSE,1,1,1
silvanopolis,TO,1720655,FALSE,FALSE,1,1,1
sitio novo do tocantins,TO,1720804,FALSE,FALSE,1,1,1
sucupira,TO,1720853,FALSE,FALSE,0,1,1
taguatinga,TO,1720903,FALSE,FALSE,1,1,1
taipas do tocantins,TO,1720937,FALSE,FALSE,0,1,1
talisma,TO,1720978,FALSE,FALSE,0,1,1
palmas,TO,1721000,FALSE,FALSE,1,1,1
tocantinia,TO,1721109,FALSE,FALSE,1,1,1
tocantinopolis,TO,1721208,FALSE,FALSE,1,1,1
tupirama,TO,1721257,FALSE,FALSE,0,1,1
tupiratins,TO,1721307,FALSE,FALSE,0,1,1
wanderlandia,TO,1722081,FALSE,FALSE,1,1,1
xambioa,TO,1722107,FALSE,FALSE,1,1,1
acailandia,MA,2100055,FALSE,FALSE,1,1,1
afonso cunha,MA,2100105,FALSE,FALSE,1,1,1
agua doce do maranhao,MA,2100154,FALSE,FALSE,0,1,1
alcantara,MA,2100204,FALSE,FALSE,1,1,1
aldeias altas,MA,2100303,FALSE,FALSE,1,1,1
altamira do maranhao,MA,2100402,FALSE,FALSE,1,1,1
alto alegre do maranhao,MA,2100436,FALSE,FALSE,0,1,1
alto alegre do pindare,MA,2100477,FALSE,FALSE,0,1,1
alto parnaiba,MA,2100501,FALSE,FALSE,1,1,1
amapa do maranhao,MA,2100550,FALSE,FALSE,0,1,1
amarante do maranhao,MA,2100600,FALSE,FALSE,1,1,1
anajatuba,MA,2100709,FALSE,FALSE,1,1,1
anapurus,MA,2100808,FALSE,FALSE,1,1,1
apicum-acu,MA,2100832,FALSE,FALSE,0,1,1
araguana,MA,2100873,FALSE,FALSE,0,1,1
araioses,MA,2100907,FALSE,FALSE,1,1,1
arame,MA,2100956,FALSE,FALSE,1,1,1
arari,MA,2101004,FALSE,FALSE,1,1,1
axixa,MA,2101103,FALSE,FALSE,1,1,1
bacabal,MA,2101202,FALSE,FALSE,1,1,1
bacabeira,MA,2101251,FALSE,FALSE,0,1,1
bacuri,MA,2101301,FALSE,FALSE,1,1,1
